0,1,2,3,4,5
Disclosure Requirement and related,SFDR reference,Pillar 3 reference,"Benchmark 
Regulation",EU Climate Law,Pages
datapoint,,,reference,reference,
"ESRS E5-5 Non-recycled waste 
paragraph 37 (d)",x,,,,Not material
"ESRS E5-5 Hazardous waste and 
radioactive waste paragraph 39",x,,,,Not material
"ESRS 2- SBM3 - S1 Risk of incidents of 
forced labour paragraph 14 (f)",x,,,,148
"ESRS 2- SBM3 - S1 Risk of incidents of 
child labour paragraph 14 (g)",x,,,,148
"ESRS S1-1 Human rights policy 
commitments paragraph 20",x,,,,152-153
"ESRS S1-1 Due diligence policies on 
issues addressed by the fundamental",,,,,
International Labor Organisation,,,x,,152-153
"Conventions 1 to 8, paragraph 21",,,,,
"ESRS S1-1 processes and measures for 
preventing trafficking in human beings",x,,,,Not material
paragraph 22,,,,,
"ESRS S1-1 workplace accident 
prevention policy or management system",x,,,,151
paragraph 23,,,,,
"ESRS S1-3 grievance/complaints 
handling mechanisms paragraph 32 (c)",x,,,,155-156
"ESRS S1-14 Number of fatalities and 
number and rate of work-related",x,,x,,167-168
accidents paragraph 88 (b) and (c),,,,,
"ESRS S1-14 Number of days lost to 
injuries, accidents, fatalities or illness",x,,,,167-168
paragraph 88 (e),,,,,
"ESRS S1-16 Unadjusted gender pay gap 
paragraph 97 (a)",x,,x,,168-169
"ESRS S1-16 Excessive CEO pay ratio 
paragraph 97 (b)",x,,,,168-169
"ESRS S1-17 Incidents of discrimination 
paragraph 103 (a)",x,,,,169
"ESRS S1-17 Non-respect of UNGPs on 
Business and Human Rights and OECD",x,,x,,169
Guidelines paragraph 104 (a),,,,,
"ESRS 2- SBM3 â€“ S2 Significant risk of 
child labour or forced labour in the value",x,,,,Not material
chain paragraph 11 (b),,,,,
"ESRS S2-1 Human rights policy 
commitments paragraph 17",x,,,,Not material
"ESRS S2-1 Policies related to value 
chain workers paragraph 18",x,,,,Not material
"ESRS S2-1Non-respect of UNGPs on 
Business and Human Rights principles",x,,x,,Not material
and OECD guidelines paragraph 19,,,,,
"ESRS S2-1 Due diligence policies on 
issues addressed by the fundamental",,,,,
International Labor Organisation,,,x,,Not material
"Conventions 1 to 8, paragraph 19",,,,,
