0,1,2,3,4,5,6,7
Disclosure requirement,Data point,Sustainability statements / Appendix,SFDR,Pillar 3,"Bench-
mark
Regu-
lation","EU Cli-
mate Law",Section note
ESRS 2 GOV-1,21 d,Boardâ€™s gender diversity,x,,x,,"GOV-1, GOV-2 The role of, information provided to and 
sustainability matters addressed by the administrative, 
management and supervisory bodies"
ESRS 2 GOV-1,21 e,Percentage of board members who are independent,,,x,,"GOV-1, GOV-2 The role of, information provided to and 
sustainability matters addressed by the administrative, 
management and supervisory bodies"
ESRS 2 GOV-4,30,Statement on due diligence,x,,,,GOV-4 Statement on due diligence
ESRS 2 SBM-1,40 d i,Involvement in activities related to fossil fuel activities,x,x,x,,"SBM-1 Strategy, business model and value chain"
ESRS 2 SBM-1,40 d ii,Involvement in activities related to chemical production,x,,x,,"SBM-1 Strategy, business model and value chain"
ESRS 2 SBM-1,40 d iii,Involvement in activities related to controversial weapons,x,,x,,"SBM-1 Strategy, business model and value chain"
ESRS 2 SBM-1,40 d iv,Involvement in activities related to cultivation and production of tobacco,,,x,,"SBM-1 Strategy, business model and value chain"
ESRS E1-1,14,Transition plan to reach climate neutrality by 2050,,,,x,E1-1 Transition plan for climate change mitigation
ESRS E1-1,16 g,Undertakings excluded from Paris-aligned Benchmarks,,x,x,,E1-1 Transition plan for climate change mitigation
ESRS E1-4,34,GHG emission reduction targets,x,x,x,,"E1-4 Targets related to climate change mitigation 
and adaptation"
ESRS E1-5,38,"Energy consumption from fossil sources disaggregated by sources (only 
high climate impact sectors)",x,,,,Not Material
ESRS E1-5,37,Energy consumption and mix,x,,,,Not Material
ESRS E1-5,40-43,Energy intensity associated with activities in high climate impact sectors,x,,,,Not Material
ESRS E1-6,44,"Gross Scope 1, 2, 3 and Total GHG emissions",x,x,x,,"E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions"
ESRS E1-6,53-55,Gross GHG emissions intensity,x,x,x,,"E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions"
ESRS E1-7,56,GHG removals and carbon credits,,,,x,Not Material
ESRS E1-9,66,Exposure of the benchmark portfolio to climate-related physical risks,,,x,,Phase-in used
